filename,original_class
dark_107217322_004258.jpg,dark
dark_39251957_000678.jpg,dark
dark_39252018_003056.jpg,dark
dark_43615605_001297.jpg,dark
dark_44981770_001448.jpg,dark
dark_44991031_004156.jpg,dark
dark_45869598_000289.jpg,dark
dark_48278204_001390.jpg,dark
dark_48474567_003823.jpg,dark
dark_48844255_000128.jpg,dark
dark_49017024_001542.jpg,dark
dark_49465535_003385.jpg,dark
dark_49603874_000696.jpg,dark
dark_55121953_000397.jpg,dark
dark_55320994_001364.jpg,dark
dark_55472883_000707.jpg,dark
dark_55517981_003857.jpg,dark
dark_58279588_002632.jpg,dark
dark_58733982_004469.jpg,dark
dark_58734018_002766.jpg,dark
dark_58768842_002297.jpg,dark
dark_58914955_000435.jpg,dark
dark_58915915_000756.jpg,dark
dark_59458539_002103.jpg,dark
dark_59459624_004010.jpg,dark
dark_59460264_002956.jpg,dark
dark_59884976_002733.jpg,dark
dark_59885951_000743.jpg,dark
dark_59941067_004098.jpg,dark
dark_60160036_004173.jpg,dark
dark_60304424_003135.jpg,dark
dark_60333194_002942.jpg,dark
dark_60883320_001951.jpg,dark
dark_60950750_004201.jpg,dark
dark_61874188_003651.jpg,dark
dark_62207076_000334.jpg,dark
dark_62409781_004369.jpg,dark
dark_62562208_000241.jpg,dark
dark_63339159_004634.jpg,dark
dark_63355171_000934.jpg,dark
dark_64034374_002236.jpg,dark
dark_64319119_002578.jpg,dark
dark_64809969_003080.jpg,dark
dark_64810003_001850.jpg,dark
dark_64824179_000150.jpg,dark
dark_64878977_000785.jpg,dark
dark_65190385_002882.jpg,dark
dark_65558739_003908.jpg,dark
dark_66025309_003398.jpg,dark
dark_66302519_003140.jpg,dark
dark_67359409_000404.jpg,dark
dark_67440200_002151.jpg,dark
dark_67715134_003061.jpg,dark
dark_67715274_000755.jpg,dark
dark_67849465_000794.jpg,dark
dark_68779429_003880.jpg,dark
dark_69875342_003738.jpg,dark
dark_70293799_000847.jpg,dark
dark_70914337_001753.jpg,dark
dark_72308788_001888.jpg,dark
dark_72583017_003869.jpg,dark
dark_72718711_000764.jpg,dark
dark_73911939_002484.jpg,dark
dark_73924095_002128.jpg,dark
dark_74678938_003591.jpg,dark
dark_74851320_000537.jpg,dark
dark_74852183_003915.jpg,dark
dark_75436758_001546.jpg,dark
dark_75524545_001055.jpg,dark
dark_75795829_002592.jpg,dark
dark_76008328_002187.jpg,dark
dark_76258531_001135.jpg,dark
dark_76266642_001154.jpg,dark
dark_76266841_000454.jpg,dark
dark_76301321_000759.jpg,dark
dark_76609275_004176.jpg,dark
dark_76687736_001942.jpg,dark
dark_76956590_002729.jpg,dark
dark_77002561_002780.jpg,dark
dark_77062704_004218.jpg,dark
dark_77146013_004537.jpg,dark
dark_77606524_001834.jpg,dark
dark_77832360_002056.jpg,dark
dark_77938570_004758.jpg,dark
dark_77999232_001816.jpg,dark
dark_78239669_002018.jpg,dark
dark_78635872_003745.jpg,dark
dark_78702846_002239.jpg,dark
dark_78703056_000232.jpg,dark
dark_78992422_001599.jpg,dark
dark_79040803_001980.jpg,dark
dark_79192833_001849.jpg,dark
dark_79214807_000125.jpg,dark
dark_79371579_001205.jpg,dark
dark_80430649_000951.jpg,dark
dark_80497880_001813.jpg,dark
dark_80706854_003000.jpg,dark
dark_80718541_000508.jpg,dark
dark_81065662_000599.jpg,dark
dark_81154825_004778.jpg,dark
dark_81180205_001974.jpg,dark
dark_81538819_002784.jpg,dark
dark_81675370_000282.jpg,dark
dark_81880247_002740.jpg,dark
dark_82165909_003034.jpg,dark
dark_82395282_000034.jpg,dark
dark_82691398_002438.jpg,dark
dark_83138642_002621.jpg,dark
dark_83160178_001576.jpg,dark
dark_83161519_004493.jpg,dark
dark_83380997_004577.jpg,dark
dark_83406095_004157.jpg,dark
dark_84372553_004227.jpg,dark
dark_84735792_004200.jpg,dark
dark_84882983_004528.jpg,dark
dark_85094687_002878.jpg,dark
dark_85101855_000280.jpg,dark
dark_85154415_002947.jpg,dark
dark_85621099_001044.jpg,dark
dark_86220101_002914.jpg,dark
dark_86327169_002698.jpg,dark
dark_86366378_002907.jpg,dark
dark_86833606_001877.jpg,dark
dark_87075302_000504.jpg,dark
dark_87789505_003425.jpg,dark
dark_88050424_004197.jpg,dark
dark_88907284_001434.jpg,dark
dark_89257404_004270.jpg,dark
dark_89540330_004209.jpg,dark
dark_90635729_004141.jpg,dark
dark_91641240_001084.jpg,dark
dark_91752717_003893.jpg,dark
dark_92492039_000512.jpg,dark
dark_93406560_001613.jpg,dark
dark_95226316_002109.jpg,dark
dark_95357413_002319.jpg,dark
dark_96337851_002107.jpg,dark
dark_96467937_003200.jpg,dark
dark_96488311_001516.jpg,dark
dark_augmented_104412423_000956.jpg,dark
dark_augmented_105943829_004442.jpg,dark
dark_augmented_107217322_003271.jpg,dark
dark_augmented_39251957_003059.jpg,dark
dark_augmented_42932747_004027.jpg,dark
dark_augmented_43615605_000933.jpg,dark
dark_augmented_44981770_002930.jpg,dark
dark_augmented_44990958_003149.jpg,dark
dark_augmented_44991031_002340.jpg,dark
dark_augmented_47287501_003934.jpg,dark
dark_augmented_48278204_003291.jpg,dark
dark_augmented_48844255_001307.jpg,dark
dark_augmented_49082496_002570.jpg,dark
dark_augmented_49180379_001668.jpg,dark
